"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"-1","-1","RDK","36","10387","0.0-1.0-35.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666676","[17.69999999999891,15.800000000001091,16.700000000000728,23,10.299999999997453,16.80000000000109,16.700000000000728,16.5,16.700000000000728,16.69999999999891,16.600000000000364,16.80000000000109]","12"
"-1","-1","RDK","37","10604","0.0-1.0-36.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.181818181818347","[17.30000000000109,16.19999999999891,16.80000000000109,16.69999999999891,16.600000000000364,38.900000000001455,10.999999999998181,16.900000000001455,16.599999999998545,16.700000000000728,16.30000000000109]","11"
"-1","-1","RDK","38","10817","0.0-1.0-37.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.48000000000011","[19.50000000000182,38.29999999999927,10.299999999999272,16.600000000000364,16.799999999999272,16.600000000000364,16.799999999999272,16.600000000000364,16.700000000000728,16.600000000000364]","10"
"-1","-1","RDK","39","11020","0.0-1.0-38.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.658333333333303","[16.700000000000728,16.399999999999636,16.69999999999891,16.600000000000364,28.399999999999636,4.900000000001455,20.99999999999818,12.300000000001091,16.69999999999891,16.80000000000109,16.099999999998545,17.30000000000109]","12"
"-1","-1","RDK","40","11236","0.0-1.0-39.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.67500000000003","[24.700000000000728,15.900000000001455,9.399999999999636,16.99999999999818,16.700000000000728,16.600000000000364,16.700000000000728,16.69999999999891,16.700000000000728,16.700000000000728,16.599999999998545,16.399999999999636]","12"
"-1","-1","RDK","41","11453","0.0-1.0-40.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.1999999999999","[16.600000000000364,17.099999999998545,16.700000000000728,35.399999999999636,14.399999999999636,16.80000000000109,16.69999999999891,16.600000000000364,16.700000000000728,16.700000000000728,16.49999999999818]","11"
"-1","-1","RDK","42","11670","0.0-1.0-41.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.70000000000012","[19.299999999999272,14.300000000001091,16.700000000000728,16.69999999999891,16.700000000000728,31.200000000000728,2.8000000000010914,15.799999999997453,16.80000000000109,16.69999999999891,16.700000000000728,16.700000000000728]","12"
"-1","-1","RDK","43","11884","0.0-1.0-42.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","20.488888888888848","[17.599999999998545,49.29999999999927,17.399999999999636,16.600000000000364,16.700000000000728,16.700000000000728,16.700000000000728,16.69999999999891,16.700000000000728]","9"
"-1","-1","RDK","44","12087","0.0-1.0-43.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.658333333333303","[16.700000000000728,16.49999999999818,16.700000000000728,16.600000000000364,26,7.300000000001091,16.599999999998545,16.799999999999272,16.700000000000728,16.700000000000728,16.69999999999891,16.600000000000364]","12"
"-1","-1","RDK","45","12304","0.0-1.0-44.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666676","[24.600000000000364,15.100000000000364,10.5,16.69999999999891,16.700000000000728,16.700000000000728,16.69999999999891,16.600000000000364,16.80000000000109,16.19999999999891,17.099999999998545,16.600000000002183]","12"
"-1","-1","RDK","46","12521","0.0-1.0-45.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.658333333333303","[17.400000000001455,16.099999999998545,16.80000000000109,15.799999999997453,17.100000000002183,17.099999999998545,16.700000000000728,16.69999999999891,16.700000000000728,16.600000000000364,16.700000000000728,16.19999999999891]","12"
"-1","-1","RDK","47","12737","0.0-1.0-46.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909091007","[17.30000000000109,16.299999999999272,16.700000000000728,16.600000000000364,16.69999999999891,36.19999999999891,13.500000000001819,16.99999999999818,16.700000000000728,16.600000000000364,16.700000000000728]","11"
"-1","-1","RDK","48","12955","0.0-1.0-47.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090843","[25.5,26.799999999999272,14.399999999999636,16.80000000000109,16.69999999999891,16.700000000000728,16.700000000000728,16.69999999999891,16.600000000000364,16.700000000000728,16.69999999999891]","11"
"-1","-1","RDK","49","13168","0.0-1.0-48.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.45","[18.200000000000728,16.19999999999891,37.30000000000109,12.800000000001091,18.899999999997817,14.399999999999636,16.700000000000728,16.700000000000728,16.600000000000364,16.69999999999891]","10"
"-1","-1","RDK","50","13371","0.0-1.0-49.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.666666666666515","[17.19999999999891,16.100000000000364,16.599999999998545,16,17.400000000001455,16.600000000000364,28,4.5,17.5,16.69999999999891,16.600000000000364,16.799999999999272]","12"
"-1","-1","RDK","51","13589","0.0-1.0-50.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.227272727272727","[18,15.799999999999272,16.50000000000182,42.39999999999782,7,17.00000000000182,16.899999999999636,16.299999999999272,17.200000000000728,16.700000000000728,16.69999999999891]","11"
"-1","-1","RDK","52","13805","0.0-1.0-51.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.218181818181787","[17.599999999998545,16.200000000000728,16.600000000000364,15.700000000000728,17.69999999999891,38.29999999999927,10.799999999999272,17.5,16.700000000000728,16.700000000000728,16.600000000000364]","11"
